,showTypeGroupNm,showTypeNm,movieCd
0,2D,디지털,20231971
1,4D,4D,20231971
2,IMAX,IMAX,20231971
3,ScreenX,ScreenX,20231971
4,DOLBYCINEMA,DOLBYCINEMA,20231971
0,2D,디지털,20211937
1,2D,디지털 가치봄,20211937
0,2D,디지털,20232180
1,2D,디지털 더빙,20232180
2,4D,4D,20232180
3,IMAX,IMAX,20232180
4,DOLBYCINEMA,DOLBYCINEMA,20232180
0,2D,디지털,20232075
0,2D,디지털,20227654
1,2D,디지털 영문자막,20227654
0,2D,디지털,20232273
1,4D,4D,20232273
2,IMAX,IMAX,20232273
3,ScreenX,ScreenX,20232273
4,DOLBYCINEMA,DOLBYCINEMA,20232273
0,2D,디지털,20232220
0,2D,디지털,20231781
0,2D,디지털,20232631
1,4D,4D,20232631
2,IMAX,IMAX,20232631
3,ScreenX,ScreenX,20232631
4,DOLBYCINEMA,DOLBYCINEMA,20232631
0,2D,디지털,20224579
0,2D,디지털,20232570
1,2D,디지털 더빙,20232570
0,2D,디지털,20231889
0,2D,디지털,20232062
1,2D,디지털 더빙,20232062
0,2D,디지털,20232536
1,2D,디지털 더빙,20232536
2,4D,4D 더빙,20232536
3,4D,4D,20232536
0,2D,디지털,20232740
1,4D,4D,20232740
2,DOLBYCINEMA,DOLBYCINEMA,20232740
0,2D,디지털,20232778
0,2D,디지털,20232639
0,2D,디지털,20232556
1,2D,디지털 더빙,20232556
0,2D,디지털,20218541
1,2D,디지털 한글자막 CC,20218541
2,2D,디지털 가치봄,20218541
3,4D,4D,20218541
4,IMAX,IMAX,20218541
5,ScreenX,ScreenX,20218541
0,2D,디지털,20232491
0,2D,디지털,20218935
1,2D,디지털 한글자막 CC,20218935
2,2D,디지털 가치봄,20218935
3,4D,4D,20218935
4,IMAX,IMAX,20218935
5,DOLBYCINEMA,DOLBYCINEMA,20218935
0,2D,디지털,20193879
0,2D,디지털,20232836
1,2D,디지털 더빙,20232836
0,2D,디지털,20204264
1,2D,디지털 가치봄,20204264
2,4D,4D,20204264
3,IMAX,IMAX,20204264
0,2D,디지털 더빙,20232698
0,2D,디지털,20232618
0,2D,디지털,20226431
1,IMAX,IMAX,20226431
2,DOLBYCINEMA,DOLBYCINEMA,20226431
0,2D,디지털,20226500
1,2D,디지털 수화,20226500
0,2D,디지털,20233052
1,4D,4D,20233052
2,ScreenX,ScreenX,20233052
0,2D,디지털,20192995
0,2D,디지털,20232629
1,2D,디지털 더빙,20232629
0,2D,디지털,20233121
1,2D,디지털 더빙,20233121
0,2D,디지털,20233014
0,2D,디지털,20233075
0,2D,디지털,20223831
0,2D,디지털,20231253
0,2D,디지털,20224667
0,필름,필름,20090379
1,필름,더빙,20090379
2,2D,디지털,20090379
3,2D,디지털 더빙,20090379
4,4D,4D,20090379
5,IMAX,IMAX,20090379
0,2D,디지털,20232948
1,2D,디지털 더빙,20232948
0,2D,디지털,20234044
1,DOLBYCINEMA,DOLBYCINEMA,20234044
0,2D,디지털,20233643
1,2D,디지털 더빙,20233643
0,2D,디지털,20233743
1,IMAX,IMAX,20233743
0,2D,디지털,20228016
0,2D,디지털,20233235
0,2D,디지털,20233411
1,4D,4D,20233411
2,ScreenX,ScreenX,20233411
3,DOLBYCINEMA,DOLBYCINEMA,20233411
0,2D,디지털 더빙,20233597
0,2D,디지털,2023C685
0,2D,디지털,20227410
1,2D,디지털 가치봄,20227410
2,4D,4D,20227410
0,2D,디지털,20197122
1,2D,디지털 한글자막 CC,20197122
2,2D,디지털 가치봄,20197122
3,4D,4D,20197122
4,IMAX,IMAX,20197122
5,ScreenX,ScreenX,20197122
0,2D,디지털,20223896
1,2D,디지털 영문자막,20223896
0,2D,디지털,20234281
1,ScreenX,ScreenX,20234281
2,DOLBYCINEMA,DOLBYCINEMA,20234281
0,2D,디지털,20234099
1,2D,디지털 더빙,20234099
0,2D,디지털 더빙,20234174
0,2D,디지털,20228819
1,2D,디지털 가치봄,20228819
0,2D,디지털,20233879
1,4D,4D,20233879
2,IMAX,IMAX,20233879
3,ScreenX,ScreenX,20233879
4,DOLBYCINEMA,DOLBYCINEMA,20233879
0,2D,디지털,20234253
1,2D,디지털 더빙,20234253
0,2D,디지털,20234277
0,2D,디지털,20227626
1,2D,디지털 한글자막 CC,20227626
2,2D,디지털 가치봄,20227626
0,2D,디지털,20212667
0,2D,디지털,20234133
0,2D,디지털,20232894
0,2D,디지털,20234853
1,4D,4D,20234853
2,DOLBYCINEMA,DOLBYCINEMA,20234853
0,2D,디지털,20234213
1,DOLBYCINEMA,DOLBYCINEMA,20234213
0,2D,디지털,20233178
0,2D,디지털,20233653
1,2D,디지털 더빙,20233653
0,2D,디지털,20234664
1,2D,디지털 더빙,20234664
2,IMAX,IMAX,20234664
3,DOLBYCINEMA,DOLBYCINEMA,20234664
0,2D,디지털,20224517
1,2D,디지털 수화,20224517
0,2D,디지털,20230981
1,2D,디지털 더빙,20230981
0,2D,디지털,20231681
0,2D,디지털,20200622
0,2D,디지털,20234666
0,2D,디지털,20235459
1,IMAX,IMAX,20235459
2,DOLBYCINEMA,DOLBYCINEMA,20235459
0,2D,디지털,20234722
0,2D,디지털,20235034
1,4D,4D,20235034
2,IMAX,IMAX,20235034
3,ScreenX,ScreenX,20235034
4,DOLBYCINEMA,DOLBYCINEMA,20235034
0,2D,디지털,20225894
0,2D,디지털,20235030
1,DOLBYCINEMA,DOLBYCINEMA,20235030
0,2D,디지털,20234797
1,IMAX,IMAX,20234797
2,DOLBYCINEMA,DOLBYCINEMA,20234797
0,2D,디지털 더빙,20234293
0,2D,디지털,20217425
0,2D,디지털,20212866
1,2D,디지털 한글자막 CC,20212866
2,2D,디지털 가치봄,20212866
3,IMAX,IMAX,20212866
0,2D,디지털,20234957
1,2D,디지털 더빙,20234957
0,2D,디지털,20230966
0,2D,디지털,20202247
1,2D,디지털 가치봄,20202247
2,2D,디지털 수화,20202247
0,2D,디지털,20234114
1,2D,디지털 가치봄,20234114
0,2D,디지털,20234798
0,2D,디지털,20235261
0,2D,디지털,20190324
1,2D,디지털 가치봄,20190324
2,2D,디지털 수화,20190324
0,2D,디지털,20235098
1,4D,4D,20235098
2,IMAX,IMAX,20235098
3,ScreenX,ScreenX,20235098
4,DOLBYCINEMA,DOLBYCINEMA,20235098
0,2D,디지털,20234673
0,2D,디지털,20235697
1,ScreenX,ScreenX,20235697
0,2D,디지털,20235698
1,DOLBYCINEMA,DOLBYCINEMA,20235698
0,2D,디지털,20235980
0,2D,디지털,20203702
1,2D,디지털 한글자막 CC,20203702
2,2D,디지털 가치봄,20203702
3,4D,4D,20203702
4,IMAX,IMAX,20203702
5,ScreenX,ScreenX,20203702
6,DOLBYCINEMA,DOLBYCINEMA,20203702
0,2D,디지털,20235735
1,4D,4D,20235735
2,IMAX,IMAX,20235735
3,ScreenX,ScreenX,20235735
4,DOLBYCINEMA,DOLBYCINEMA,20235735
0,2D,디지털,20236146
1,2D,디지털 한글자막 CC,20236146
2,2D,디지털 더빙,20236146
0,2D,디지털,20235596
1,2D,디지털 더빙,20235596
2,4D,4D 더빙,20235596
3,4D,4D,20235596
4,DOLBYCINEMA,DOLBYCINEMA,20235596
0,2D,디지털,20233299
0,2D,디지털 더빙,20236045
0,2D,디지털,20235290
0,2D,디지털,20236080
0,2D,디지털,20235834
1,2D,디지털 더빙,20235834
2,3D,3D 디지털,20235834
3,3D,3D 더빙,20235834
4,4D,4D 더빙,20235834
5,4D,4D,20235834
6,DOLBYCINEMA,DOLBYCINEMA,20235834
0,2D,디지털,20235253
1,4D,4D,20235253
2,IMAX,IMAX,20235253
3,ScreenX,ScreenX,20235253
0,2D,디지털,20235583
1,2D,디지털 더빙,20235583
2,4D,4D 더빙,20235583
3,4D,4D,20235583
4,ScreenX,ScreenX,20235583
5,DOLBYCINEMA,DOLBYCINEMA,20235583
0,2D,디지털,20235353
1,2D,디지털 영문자막,20235353
0,2D,디지털,20236557
1,4D,4D,20236557
0,2D,디지털,20206946
1,2D,디지털 가치봄,20206946
2,2D,디지털 수화,20206946
0,2D,디지털,20235854
0,2D,디지털,20236464
0,2D,디지털,20236180
1,2D,디지털 더빙,20236180
2,4D,4D,20236180
3,IMAX,IMAX,20236180
4,ScreenX,ScreenX,20236180
5,DOLBYCINEMA,DOLBYCINEMA,20236180
0,2D,디지털,20247074
0,2D,디지털,20234730
0,2D,디지털,20246964
1,2D,디지털 더빙,20246964
0,2D,디지털,20212668
0,2D,디지털,20211477
0,2D,디지털,20231415
1,2D,디지털 가치봄,20231415
0,2D,디지털,20234581
1,4D,4D,20234581
2,IMAX,IMAX,20234581
3,ScreenX,ScreenX,20234581
4,DOLBYCINEMA,DOLBYCINEMA,20234581
0,2D,디지털,20246966
0,2D,디지털,20247076
1,4D,4D,20247076
2,IMAX,IMAX,20247076
0,2D,디지털 더빙,20246989
0,2D,디지털,20234675
1,2D,디지털 영문자막,20234675
2,2D,디지털 가치봄,20234675
3,2D,디지털 수화,20234675
4,4D,4D,20234675
5,ScreenX,ScreenX,20234675
0,2D,디지털,20247437
0,2D,디지털,20247219
0,2D,디지털,20247063
0,2D,디지털,20236295
1,4D,4D,20236295
2,IMAX,IMAX,20236295
3,ScreenX,ScreenX,20236295
4,DOLBYCINEMA,DOLBYCINEMA,20236295
0,2D,디지털,20247473
0,2D,디지털,20236732
0,2D,디지털,20234789
1,2D,디지털 영문자막,20234789
0,2D,디지털,20234808
1,2D,디지털 더빙,20234808
0,2D,디지털,20247782
0,2D,디지털,20236488
1,DOLBYCINEMA,DOLBYCINEMA,20236488
0,2D,디지털,20247593
1,2D,디지털 더빙,20247593
0,2D,디지털,20236714
1,2D,디지털 더빙,20236714
2,4D,4D,20236714
3,IMAX,IMAX,20236714
4,DOLBYCINEMA,DOLBYCINEMA,20236714
0,2D,디지털,20248393
0,2D,디지털,20231459
0,2D,디지털,20231041
1,2D,디지털 가치봄,20231041
2,2D,디지털 수화,20231041
0,2D,디지털,20248496
1,4D,4D,20248496
2,IMAX,IMAX,20248496
3,ScreenX,ScreenX,20248496
4,DOLBYCINEMA,DOLBYCINEMA,20248496
0,2D,디지털,20219375
0,2D,디지털,20248222
1,4D,4D,20248222
2,DOLBYCINEMA,DOLBYCINEMA,20248222
0,2D,디지털,20235838
0,2D,디지털,20247673
0,2D,디지털,20247780
1,DOLBYCINEMA,DOLBYCINEMA,20247780
0,2D,디지털,20201502
0,2D,디지털,20236230
0,2D,디지털,20236614
1,2D,디지털 더빙,20236614
2,4D,4D 더빙,20236614
3,4D,4D,20236614
4,ScreenX,ScreenX,20236614
5,DOLBYCINEMA,DOLBYCINEMA,20236614
0,2D,디지털,20247294
0,2D,디지털,20248586
1,IMAX,IMAX,20248586
0,2D,디지털,20248466
0,2D,디지털,20228797
1,2D,디지털 한글자막 CC,20228797
2,2D,디지털 중국어자막,20228797
3,4D,4D,20228797
4,IMAX,IMAX,20228797
0,필름,필름,19950095
1,2D,디지털,19950095
0,2D,디지털,20249318
0,2D,디지털,20248493
1,2D,디지털 더빙,20248493
0,2D,디지털,20247355
1,2D,디지털 영문자막,20247355
0,2D,디지털,20233271
0,2D,디지털,20235613
1,4D,4D,20235613
2,IMAX,IMAX,20235613
3,ScreenX,ScreenX,20235613
4,DOLBYCINEMA,DOLBYCINEMA,20235613
0,2D,디지털,20249313
0,2D,디지털,20249353
0,2D,디지털,20249133
1,2D,디지털 더빙,20249133
0,2D,디지털,20247783
1,4D,4D,20247783
2,IMAX,IMAX,20247783
3,ScreenX,ScreenX,20247783
4,DOLBYCINEMA,DOLBYCINEMA,20247783
0,2D,디지털,20249317
0,필름,필름,19950084
1,2D,디지털,19950084
0,2D,디지털,20170321
1,2D,디지털 가치봄,20170321
0,2D,디지털,20203557
0,2D,디지털,20249507
1,4D,4D,20249507
2,IMAX,IMAX,20249507
3,DOLBYCINEMA,DOLBYCINEMA,20249507
0,2D,디지털,20249305
1,2D,디지털 더빙,20249305
0,2D,디지털,20236674
1,2D,디지털 더빙,20236674
0,2D,디지털,20236653
1,4D,4D,20236653
2,IMAX,IMAX,20236653
3,ScreenX,ScreenX,20236653
4,DOLBYCINEMA,DOLBYCINEMA,20236653
0,2D,디지털,20249416
0,2D,디지털,20234045
1,2D,디지털 한글자막 CC,20234045
0,2D,디지털 더빙,20240162
0,2D,디지털,20191143
1,2D,디지털 가치봄,20191143
2,2D,디지털 수화,20191143
0,2D,디지털,20240125
1,4D,4D,20240125
2,IMAX,IMAX,20240125
3,ScreenX,ScreenX,20240125
0,2D,디지털,20240195
0,2D,디지털,20247397
0,2D,디지털,20235974
1,2D,디지털 더빙,20235974
2,4D,4D 더빙,20235974
3,4D,4D,20235974
4,IMAX,IMAX,20235974
5,DOLBYCINEMA,DOLBYCINEMA,20235974
0,2D,디지털,20218459
0,2D,디지털,20240641
0,2D,디지털,20240479
0,2D,디지털,20248465
1,2D,디지털 한글자막 CC,20248465
2,2D,디지털 가치봄,20248465
3,4D,4D,20248465
0,2D,디지털,20234413
0,2D,디지털,20234622
1,2D,디지털 더빙,20234622
0,2D,디지털,20240189
0,2D,디지털,20208245
1,2D,디지털 베트남어,20208245
2,2D,디지털 수화,20208245
0,2D,디지털,20247811
1,4D,4D,20247811
2,IMAX,IMAX,20247811
3,ScreenX,ScreenX,20247811
4,DOLBYCINEMA,DOLBYCINEMA,20247811
0,2D,디지털,20240541
1,2D,디지털 더빙,20240541
0,2D,디지털,20212932
1,2D,디지털 수화,20212932
0,2D,디지털,20235926
0,2D,디지털,20208911
1,2D,디지털 수화,20208911
2,4D,4D,20208911
0,2D,디지털,20240850
1,2D,디지털 더빙,20240850
0,2D,디지털,20240781
0,2D,디지털,20241343
1,4D,4D,20241343
0,2D,디지털,20240735
0,2D,디지털,20240983
1,2D,디지털 더빙,20240983
2,4D,4D 더빙,20240983
3,4D,4D,20240983
4,IMAX,IMAX,20240983
0,2D,디지털,20247440
1,2D,디지털 더빙,20247440
2,4D,4D 더빙,20247440
3,4D,4D,20247440
4,ScreenX,ScreenX,20247440
5,DOLBYCINEMA,DOLBYCINEMA,20247440
0,2D,디지털,20241984
0,2D,디지털,20247781
1,4D,4D,20247781
2,IMAX,IMAX,20247781
3,ScreenX,ScreenX,20247781
4,DOLBYCINEMA,DOLBYCINEMA,20247781
0,2D,디지털,20224666
1,2D,디지털 한글자막 CC,20224666
0,2D,디지털,20249733
0,2D,디지털,20242098
0,2D,디지털,20233038
1,2D,디지털 가치봄,20233038
0,2D,디지털,20241924
0,2D,디지털,20241337
1,4D,4D,20241337
2,IMAX,IMAX,20241337
3,ScreenX,ScreenX,20241337
4,DOLBYCINEMA,DOLBYCINEMA,20241337
0,2D,디지털,20249188
1,4D,4D,20249188
2,IMAX,IMAX,20249188
3,ScreenX,ScreenX,20249188
4,DOLBYCINEMA,DOLBYCINEMA,20249188
0,2D,디지털,20204271
1,2D,디지털 가치봄,20204271
2,2D,디지털 수화,20204271
0,2D,디지털,20231042
1,2D,디지털 한글자막 CC,20231042
0,2D,디지털,20242473
1,2D,디지털 영문자막,20242473
2,2D,디지털 일어자막,20242473
3,2D,디지털 중국어자막,20242473
4,4D,4D,20242473
5,ScreenX,ScreenX,20242473
0,2D,디지털,20225969
0,2D,디지털,20229365
0,2D,디지털,20241098
1,4D,4D,20241098
2,IMAX,IMAX,20241098
0,2D,디지털,20242794
1,IMAX,IMAX,20242794
2,ScreenX,ScreenX,20242794
0,2D,디지털,20226545
1,2D,디지털 영문자막,20226545
0,2D,디지털,20240925
0,2D,디지털,20242541
1,DOLBYCINEMA,DOLBYCINEMA,20242541
0,2D,디지털,20240669
1,4D,4D,20240669
2,IMAX,IMAX,20240669
3,ScreenX,ScreenX,20240669
4,DOLBYCINEMA,DOLBYCINEMA,20240669
0,2D,디지털,20239670
1,2D,디지털 영문자막,20239670
2,2D,디지털 한글자막 CC,20239670
3,4D,4D,20239670
4,IMAX,IMAX,20239670
5,DOLBYCINEMA,DOLBYCINEMA,20239670
0,2D,디지털,20242495
0,2D,디지털,20243824
1,2D,디지털 더빙,20243824
0,2D,디지털,20249554
0,필름,필름,20149629
1,2D,디지털,20149629
0,2D,디지털,20249899
1,2D,디지털 더빙,20249899
2,4D,4D 더빙,20249899
3,4D,4D,20249899
4,IMAX,IMAX,20249899
5,DOLBYCINEMA,DOLBYCINEMA,20249899
6,DOLBYCINEMA,DOLBYCINEMA 더빙,20249899
0,2D,디지털,20234613
0,2D,디지털,20244002
0,2D,디지털,20243721
0,2D,디지털,20249434
1,4D,4D,20249434
2,IMAX,IMAX,20249434
3,ScreenX,ScreenX,20249434
4,DOLBYCINEMA,DOLBYCINEMA,20249434
0,2D,디지털,20232949
1,2D,디지털 영문자막,20232949
2,2D,디지털 한글자막 CC,20232949
0,2D,디지털,20248492
1,2D,디지털 더빙,20248492
2,4D,4D 더빙,20248492
3,4D,4D,20248492
4,ScreenX,ScreenX,20248492
5,DOLBYCINEMA,DOLBYCINEMA,20248492
0,2D,디지털,2022B512
0,2D,디지털,20244001
1,2D,디지털 더빙,20244001
0,2D,디지털,20244341
0,2D,디지털,20227979
0,2D,디지털,20185249
0,2D,디지털,20241497
0,2D,디지털,20248129
0,2D,디지털,20244944
0,2D,디지털,20240941
1,4D,4D,20240941
2,IMAX,IMAX,20240941
3,ScreenX,ScreenX,20240941
4,DOLBYCINEMA,DOLBYCINEMA,20240941
0,2D,디지털,20244587
1,2D,디지털 더빙,20244587
0,2D,디지털 더빙,20244945
0,2D,디지털,20244513
0,2D,디지털,20233057
0,2D,디지털,20245399
0,2D,디지털,20242375
0,2D,디지털,20244257
1,2D,디지털 더빙,20244257
0,2D,디지털,20233261
1,2D,디지털 한글자막 CC,20233261
2,2D,디지털 가치봄,20233261
0,2D,디지털,20245078
1,4D,4D,20245078
2,IMAX,IMAX,20245078
0,2D,디지털,20245121
0,2D,디지털,20244912
0,2D,디지털,20242170
1,2D,디지털 더빙,20242170
0,2D,디지털,20242248
1,4D,4D,20242248
2,IMAX,IMAX,20242248
3,ScreenX,ScreenX,20242248
4,DOLBYCINEMA,DOLBYCINEMA,20242248
0,2D,디지털,20190353
0,2D,디지털,20179281
0,2D,디지털,20247693
1,2D,디지털 더빙,20247693
2,4D,4D 더빙,20247693
3,4D,4D,20247693
4,IMAX,IMAX,20247693
5,IMAX,IMAX 더빙,20247693
6,ScreenX,ScreenX,20247693
7,DOLBYCINEMA,DOLBYCINEMA,20247693
8,DOLBYCINEMA,DOLBYCINEMA 더빙,20247693
0,2D,디지털,20225184
0,2D,디지털,20245801
1,4D,4D,20245801
0,2D,디지털,20240737
1,2D,디지털 더빙,20240737
2,4D,4D 더빙,20240737
3,4D,4D,20240737
4,DOLBYCINEMA,DOLBYCINEMA,20240737
0,2D,디지털,20212352
1,2D,디지털 가치봄,20212352
0,2D,디지털,20247017
1,2D,디지털 가치봄,20247017
2,2D,디지털 수화,20247017
0,2D,디지털,20200142
0,2D,디지털,20246609
1,IMAX,IMAX,20246609
0,2D,디지털,20235994
0,2D,디지털,20244762
0,2D,디지털,20247430
0,2D,디지털,20240193
1,2D,디지털 더빙,20240193
2,4D,4D 더빙,20240193
3,4D,4D,20240193
4,IMAX,IMAX,20240193
5,ScreenX,ScreenX,20240193
6,DOLBYCINEMA,DOLBYCINEMA,20240193
0,2D,디지털 더빙,20245977
1,2D,디지털 가치봄,20245977
0,2D,디지털,20228796
1,2D,디지털 가치봄,20228796
2,IMAX,IMAX,20228796
3,DOLBYCINEMA,DOLBYCINEMA,20228796
0,2D,디지털,20246201
1,2D,디지털 더빙,20246201
0,2D,디지털,20246361
0,2D,디지털,20246777
1,2D,디지털 4K,20246777
0,2D,디지털,20190300
1,2D,디지털 가치봄,20190300
0,2D,디지털,20244167
1,2D,디지털 더빙,20244167
2,4D,4D 더빙,20244167
3,4D,4D,20244167
4,ScreenX,ScreenX,20244167
0,2D,디지털,20244850
1,IMAX,IMAX,20244850
2,DOLBYCINEMA,DOLBYCINEMA,20244850
0,2D,디지털,20248082
